track_id,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,eff_8,eff_9,eff_10,eff_11,eff_12,eff_13,eff_14,eff_15,eff_16,eff_17,eff_18,eff_19,eff_20,eff_21,eff_22,eff_23,eff_24,eff_25,eff_26,eff_27,eff_28,eff_29,eff_30,eff_31,eff_32,eff_33,eff_34
01 Balancer,-655.38934,172.82596,49.2292,59.033134,1.9208541,11.169349,-0.5165023,18.077677,7.454087,17.87617,5.5521083,1.1166874,-3.880219,91.31916,67.66739,24.606047,15.50929,13.69683,11.069889,8.007071,10.630186,14.630441,12.956898,9.616904,7.7104583,9.898676,411.55222,365.19247,244.36229,0.23841548,0.015615934,137.05727,3.8071454,0.5787008,1.0
01 Break,-670.8048,190.44127,30.738,46.501186,6.7028875,23.28051,9.652423,10.841097,5.06357,14.440954,7.702423,9.045689,3.6790025,67.61286,39.370415,24.729595,17.89356,12.999313,10.571974,9.004101,8.165202,7.389941,7.1126637,7.215279,5.8010054,5.719815,224.2617,134.6823,111.97266,0.19126928,0.0064094234,65.091064,2.1693573,0.7480979,1.0
01 Breakbeak,-721.50085,46.214306,52.72357,26.596817,29.305483,43.08618,19.689146,25.130022,2.325262,17.692787,7.973503,8.261617,10.741765,131.41257,45.525616,42.453552,22.319826,21.373373,21.138472,19.24629,16.950191,14.996584,12.252448,10.719343,10.39853,8.571454,2499.3462,2037.061,2731.393,0.11467514,0.07268704,127.02951,4.007279,0.8118755,1.0
01 Calling Me,-684.19116,104.21759,15.202313,11.365114,14.787136,12.471873,3.9379723,9.064524,2.8333375,3.6369903,2.4178178,1.7391458,2.0936096,154.14426,51.599846,40.10513,27.80251,25.933186,21.267035,19.925089,15.967944,15.599218,13.1785755,13.087526,11.5953865,10.569806,1918.1371,1954.9111,2176.5361,0.09446918,0.06782557,172.26566,1.979831,0.73331803,1.0
01 Can I Ride (Extended Cut),-982.96405,263.53592,116.27998,36.933765,0.452582,-8.962918,-14.553441,-9.969883,-9.263366,-6.4137015,-7.399839,-8.038157,-9.250396,83.716805,26.825306,25.85065,19.36849,17.38352,18.084558,10.441701,11.852531,9.299647,10.811067,8.3303995,8.123669,7.901279,205.39853,66.85625,252.39247,0.079246536,0.009064276,124.250854,3.9388554,0.94309014,0.0
01 Enjoy Reality,-655.47955,111.38133,44.77711,42.86526,21.811245,28.433577,16.259678,15.994064,8.52354,10.208846,7.210343,5.6040864,6.25664,139.15697,71.3099,39.473618,24.954094,18.94333,13.398136,12.945815,11.940072,9.471052,8.699219,7.5489264,7.120123,7.589317,1340.9064,1794.906,1385.747,0.21982256,0.051430654,138.11853,3.5010197,0.64208496,0.0
01 Flurry,-655.8058,110.48515,32.32208,34.076363,6.8155622,15.820232,0.040612314,-2.7527418,-9.5425625,-1.9933282,-7.6115456,-3.4672666,-2.3153312,93.121704,40.70269,21.483492,18.119743,12.418557,12.735411,12.081477,8.1025715,7.9723163,8.676662,7.2974486,5.487564,6.0697603,1394.0718,1241.6626,1243.7195,0.103589036,0.052613296,124.03966,1.8071716,0.481652,0.0
01 Function As Foils,-873.70404,192.5888,59.32078,33.758087,25.178352,15.145622,6.124285,2.8940487,2.8738694,4.241301,2.2614057,-3.0034673,-6.4349227,100.135086,54.24842,35.86384,32.549652,24.95134,13.560388,18.54893,18.26083,16.811771,12.957567,12.43563,14.621632,14.775481,314.85596,416.49948,237.77321,0.049645234,0.01141747,109.58407,0.8984581,0.75024146,1.0
01 It_s A Bear,-616.7919,152.94466,73.66436,-6.080076,-18.984371,15.578991,1.622919,9.372251,10.871204,3.4987895,5.0201693,1.2540975,3.255027,93.29055,64.219635,34.14501,26.032267,24.489656,19.32209,13.869109,15.369678,12.508872,11.92789,11.317264,10.358561,9.652768,1011.72644,921.75903,556.9561,0.20458421,0.03192547,134.0403,3.7570128,0.8635877,0.0
01 Jack Nolan - Timentes,-747.445,251.72984,19.217457,42.87879,34.287174,22.050453,25.496222,14.995456,14.0836115,8.0813265,8.403728,1.1916777,2.1200721,128.10461,70.82083,41.920006,23.145264,24.0911,13.5231695,12.643371,12.006602,8.693264,8.6916,7.1982055,6.7440104,6.4431834,378.59515,773.8252,354.16913,0.24030717,0.009817759,137.90262,2.8148854,0.42550775,0.0
01 Liquida,-934.5032,245.57437,72.426056,22.306538,20.847656,26.571516,11.190518,-6.6669736,-7.1388607,6.2734437,7.889679,5.155637,-4.123627,59.87033,26.347422,31.65469,24.72392,14.829546,18.283422,12.798833,12.253583,15.187515,11.850698,12.344061,10.371673,10.753132,188.8675,120.509285,192.14114,0.059346583,0.0077286325,100.793175,1.7023716,0.6586784,0.0
